City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Esperance,AU,2022-06-01 17:46:25,-33.8667,121.9,54.05,67,99,13.56
68,Bengkulu,ID,2022-06-01 17:46:26,-3.8004,102.2655,75.76,91,74,3.87
69,Asau,RO,2022-06-01 17:46:27,46.4333,26.4,72.52,77,89,3.56
70,Hermanus,ZA,2022-06-01 17:46:27,-34.4187,19.2345,52.81,86,62,4.83
71,Siilinjarvi,FI,2022-06-01 17:46:27,63.0833,27.6667,62.62,45,0,10.36
72,Sarangani,PH,2022-06-01 17:46:28,5.4033,125.4636,83.01,75,27,6.29
73,New Norfolk,AU,2022-06-01 17:46:28,-42.7826,147.0587,38.91,81,37,2.51
74,Hilo,US,2022-06-01 17:46:29,19.7297,-155.09,84.27,77,0,8.05
75,Cherskiy,RU,2022-06-01 17:46:29,68.75,161.3,57.76,50,100,11.3
76,Hobart,AU,2022-06-01 17:42:18,-42.8794,147.3294,40.86,85,37,5.75
77,Broome,US,2022-06-01 17:46:30,42.2506,-75.833,82.62,64,75,8.01
78,Tubuala,PA,2022-06-01 17:46:30,9.5167,-79.0333,84.51,73,100,5.28
79,Bambous Virieux,MU,2022-06-01 17:46:31,-20.3428,57.7575,73.65,64,20,12.66
80,San Cristobal,VE,2022-06-01 17:46:31,7.7669,-72.225,86.18,40,99,10.6
81,Bluff,NZ,2022-06-01 17:46:32,-46.6,168.3333,52.81,90,95,13.0
82,Tuktoyaktuk,CA,2022-06-01 17:46:32,69.4541,-133.0374,41.0,65,40,13.8
83,Fare,PF,2022-06-01 17:46:33,-16.7,-151.0167,79.21,73,100,9.6
84,Cockburn Town,TC,2022-06-01 17:46:34,21.4612,-71.1419,82.36,69,75,20.71
85,Lebu,CL,2022-06-01 17:46:34,-37.6167,-73.65,49.06,53,45,1.88
86,Urucara,BR,2022-06-01 17:46:35,-2.5364,-57.76,85.32,74,57,3.24
87,Khatanga,RU,2022-06-01 17:46:36,71.9667,102.5,37.11,96,100,8.48
88,Lasa,IT,2022-06-01 17:46:36,46.6166,10.7002,65.28,87,88,2.86
89,Wyndham,US,2022-06-01 17:46:37,37.6985,-77.6125,95.05,48,0,5.75
90,Meulaboh,ID,2022-06-01 17:46:37,4.1363,96.1285,76.62,90,100,7.74
91,Alekseyevsk,RU,2022-06-01 17:46:38,57.8406,108.3492,43.83,73,54,3.33
92,Plouzane,FR,2022-06-01 17:55:07,48.3833,-4.6167,62.78,55,0,11.5
93,Isangel,VU,2022-06-01 17:55:08,-19.55,169.2667,76.75,88,15,3.42
94,Hithadhoo,MV,2022-06-01 17:55:09,-0.6,73.0833,83.98,70,94,9.98
95,Castro,BR,2022-06-01 17:55:10,-24.7911,-50.0119,59.31,99,100,4.21
96,Atikokan,CA,2022-06-01 17:55:11,48.7555,-91.6216,63.16,32,44,15.01
97,Faya,SA,2022-06-01 17:55:13,18.3851,42.4509,75.31,41,54,4.03
98,Poronaysk,RU,2022-06-01 17:55:21,49.2167,143.1167,40.06,98,100,4.72
99,Mahebourg,MU,2022-06-01 17:55:22,-20.4081,57.7,73.69,64,20,12.66
100,Norman Wells,CA,2022-06-01 17:55:24,65.282,-126.8329,51.84,66,20,4.61
101,Waynesboro,US,2022-06-01 17:52:35,38.0685,-78.8895,88.99,54,0,5.75
102,Mareeba,AU,2022-06-01 17:55:26,-17.0,145.4333,64.44,92,77,2.17
103,Juneau,US,2022-06-01 17:54:08,58.3019,-134.4197,69.84,67,10,4.56
104,San Patricio,US,2022-06-01 17:55:28,28.017,-97.5169,91.18,50,25,14.94
105,Kruisfontein,ZA,2022-06-01 17:55:29,-34.0033,24.7314,55.89,82,33,7.36
106,Capao Da Canoa,BR,2022-06-01 17:55:30,-29.7456,-50.0097,52.0,90,100,2.13
107,Majene,ID,2022-06-01 17:55:31,-3.5403,118.9707,78.48,87,97,4.14
108,Bethel,US,2022-06-01 17:55:24,41.3712,-73.414,70.52,73,91,1.01
109,Purpe,RU,2022-06-01 17:55:33,64.4803,76.6897,35.76,75,99,22.68
110,Kodiak,US,2022-06-01 17:55:35,57.79,-152.4072,49.42,83,86,5.01
111,Pevek,RU,2022-06-01 17:55:36,69.7008,170.3133,43.57,72,100,11.86
112,Fairbanks,US,2022-06-01 17:50:52,64.8378,-147.7164,67.08,47,0,3.44
113,Novobureyskiy,RU,2022-06-01 17:55:38,49.798,129.8774,49.37,96,100,11.18
114,Itaunja,IN,2022-06-01 17:55:39,27.0833,80.9167,89.58,9,2,2.33
115,Vila Franca Do Campo,PT,2022-06-01 17:55:39,37.7167,-25.4333,64.81,77,70,12.91
116,Shakawe,BW,2022-06-01 17:55:40,-18.3667,21.85,56.46,23,3,6.29
117,Lapeer,US,2022-06-01 17:54:20,43.0514,-83.3188,78.28,83,40,6.91
118,Peyima,SL,2022-06-01 17:55:40,8.7,-11.0333,86.04,58,48,3.13
119,Yurino,RU,2022-06-01 17:53:09,56.2942,46.3039,60.93,76,57,5.21
120,Leshukonskoye,RU,2022-06-01 17:55:41,64.8989,45.7622,61.05,51,53,5.08
121,Saldanha,ZA,2022-06-01 17:55:41,-33.0117,17.9442,57.25,78,16,9.53
122,George,ZA,2022-06-01 17:55:42,-33.963,22.4617,54.95,88,0,4.61
123,Vanimo,PG,2022-06-01 17:55:42,-2.6741,141.3028,76.42,90,16,5.79
124,Geraldton,AU,2022-06-01 17:55:42,-28.7667,114.6,45.01,87,83,3.44
125,Quatre Cocos,MU,2022-06-01 17:55:43,-20.2078,57.7625,73.51,64,10,10.36
126,Narsaq,GL,2022-06-01 17:55:43,60.9167,-46.05,47.07,60,100,5.53
127,Kajaani,FI,2022-06-01 17:55:44,64.2273,27.7285,62.65,48,0,5.75
128,Karatuzskoye,RU,2022-06-01 17:55:44,53.6072,92.8667,52.11,93,98,5.53
129,Winslow,US,2022-06-01 17:52:00,35.0242,-110.6974,69.98,16,0,0.0
130,Thongwa,MM,2022-06-01 17:55:44,16.7619,96.5278,78.96,87,66,5.75
131,Remerschen,LU,2022-06-01 17:55:45,49.4886,6.3517,66.78,39,0,12.66
132,El Tigre,VE,2022-06-01 17:55:45,8.8875,-64.2454,92.26,30,100,7.78
133,Junin,AR,2022-06-01 17:53:10,-34.5838,-60.9433,56.44,33,76,2.46
134,Katsuura,JP,2022-06-01 17:55:46,35.1333,140.3,67.44,82,100,7.11
135,Cabo San Lucas,MX,2022-06-01 17:51:24,22.8909,-109.9124,88.61,74,27,1.99
136,Adrar,MR,2022-06-01 17:55:46,20.5022,-10.0711,105.03,9,3,13.98
137,Solnechnyy,RU,2022-06-01 17:56:47,50.7214,136.6319,43.66,99,94,3.02
138,Necochea,AR,2022-06-01 17:56:47,-38.5473,-58.7368,47.98,77,84,11.12
139,Lorengau,PG,2022-06-01 17:56:48,-2.0226,147.2712,79.3,76,51,3.51
140,Ust-Tsilma,RU,2022-06-01 17:56:48,65.441,52.1498,56.52,48,57,4.41
141,Grande Prairie,CA,2022-06-01 17:56:48,55.1667,-118.8027,66.38,32,20,5.75
142,Quthing,LS,2022-06-01 17:56:49,-30.4,27.7003,42.73,42,2,0.94
143,Qeshm,IR,2022-06-01 17:56:49,26.9581,56.2719,87.69,78,0,10.27
144,Auki,SB,2022-06-01 17:56:49,-8.7676,160.7034,76.06,88,100,6.04
145,Wattegama,LK,2022-06-01 17:56:50,6.7989,81.4808,77.23,80,100,5.73
146,Ostrovnoy,RU,2022-06-01 17:56:50,68.0531,39.5131,45.37,77,27,6.85
147,Slavgorodskoye,RU,2022-06-01 17:56:51,53.0214,78.6435,51.85,76,95,14.32
148,Ribeira Grande,PT,2022-06-01 17:56:51,38.5167,-28.7,66.6,77,20,17.27
149,Alexandria,EG,2022-06-01 17:53:30,31.2156,29.9553,75.16,57,0,6.91
150,Codrington,AU,2022-06-01 17:56:52,-38.2667,141.9667,45.9,78,80,6.89
151,Longyearbyen,SJ,2022-06-01 17:56:52,78.2186,15.6401,48.04,76,0,4.61
152,Tete,MZ,2022-06-01 17:56:52,-16.1564,33.5867,73.49,46,75,7.0
153,Waingapu,ID,2022-06-01 17:56:53,-9.6567,120.2641,77.63,83,54,3.42
154,Oyem,GA,2022-06-01 17:56:53,1.5995,11.5793,70.38,96,68,1.48
155,Humaita,BR,2022-06-01 17:56:54,-7.5061,-63.0208,90.95,50,64,1.39
156,Kavaratti,IN,2022-06-01 17:56:54,10.5669,72.642,82.72,76,100,17.65
157,Kysyl-Syr,RU,2022-06-01 17:56:54,63.8986,122.7617,48.36,99,100,4.16
158,Leningradskiy,RU,2022-06-01 17:56:55,69.3833,178.4167,36.77,93,99,9.22
159,Evensk,RU,2022-06-01 17:56:55,61.95,159.2333,41.0,73,11,1.79
160,Atuona,PF,2022-06-01 17:56:55,-9.8,-139.0333,77.74,79,7,10.13
161,Chiredzi,ZW,2022-06-01 17:56:56,-21.05,31.6667,65.05,57,44,6.71
162,Balkhash,KZ,2022-06-01 17:56:56,46.844,74.9804,63.63,44,1,15.75
163,Varhaug,NO,2022-06-01 17:56:57,58.6147,5.6457,54.48,89,82,13.35
164,Saint-Francois,FR,2022-06-01 17:56:57,46.4154,3.9054,74.64,43,0,3.44
165,Namibe,AO,2022-06-01 17:56:58,-15.1961,12.1522,77.4,49,12,8.79
166,Airai,TL,2022-06-01 17:56:58,-8.9266,125.4092,59.22,92,90,1.43
167,Flinders,AU,2022-06-01 17:56:58,-34.5833,150.8552,49.17,71,5,5.99
168,Yueyang,CN,2022-06-01 17:56:59,29.3333,113.0919,74.55,94,85,2.13
169,Tefe,BR,2022-06-01 17:56:59,-3.3542,-64.7114,82.51,78,75,9.22
170,America Dourada,BR,2022-06-01 17:56:59,-11.4553,-41.4361,84.7,32,1,11.9
171,Saint Anthony,US,2022-06-01 17:57:00,45.0205,-93.218,69.82,45,7,3.0
172,Chardara,KZ,2022-06-01 17:57:01,41.2547,67.9692,80.33,28,2,9.53
173,Jijiga,ET,2022-06-01 17:57:02,9.35,42.8,66.18,68,71,4.85
174,Iqaluit,CA,2022-06-01 17:57:02,63.7506,-68.5145,37.13,69,75,5.75
175,East London,ZA,2022-06-01 17:57:02,-33.0153,27.9116,56.34,58,0,6.91
176,Kuytun,RU,2022-06-01 17:57:03,54.3419,101.5036,52.77,68,99,5.7
177,Jalu,LY,2022-06-01 17:57:03,29.0331,21.5482,91.45,13,0,5.41
